


VRF,Address Family,Instance,Area,Interface,Name,Interface Type,Passive,IP Address,Router ID,BFD,Cost,Dead Interval,Enabled,Graceful Restart Type,GR Helper,Hello Interval,Hello Timer,Index,Retransmit Interval,State,Neighbor Count,Transmit Delay,Wait Interval
default,ipv4,1,0.0.0.0,GigabitEthernet2,GigabitEthernet2,broadcast,False,172.16.252.21/30,172.16.252.25,False,1,40,True,cisco,True,10,00:00:02,1/1/1,5,dr,0,1,40
default,ipv4,1,0.0.0.0,GigabitEthernet2,GigabitEthernet2,broadcast,False,172.16.252.21/30,172.16.252.25,False,1,40,True,ietf,True,10,00:00:02,1/1/1,5,dr,0,1,40
default,ipv4,1,0.0.0.0,GigabitEthernet3,GigabitEthernet3,broadcast,False,172.16.252.25/30,172.16.252.25,False,1,40,True,cisco,True,10,00:00:03,1/2/2,5,dr,0,1,40
default,ipv4,1,0.0.0.0,GigabitEthernet3,GigabitEthernet3,broadcast,False,172.16.252.25/30,172.16.252.25,False,1,40,True,ietf,True,10,00:00:03,1/2/2,5,dr,0,1,40
default,ipv4,1,0.0.0.0,GigabitEthernet4,GigabitEthernet4,broadcast,False,172.16.252.2/30,172.16.252.25,False,1,40,True,cisco,True,10,00:00:03,1/3/3,5,dr,1,1,40
default,ipv4,1,0.0.0.0,GigabitEthernet4,GigabitEthernet4,broadcast,False,172.16.252.2/30,172.16.252.25,False,1,40,True,ietf,True,10,00:00:03,1/3/3,5,dr,1,1,40
default,ipv4,1,0.0.0.0,GigabitEthernet5,GigabitEthernet5,broadcast,False,172.16.252.10/30,172.16.252.25,False,1,40,True,cisco,True,10,00:00:01,1/4/4,5,dr,1,1,40
default,ipv4,1,0.0.0.0,GigabitEthernet5,GigabitEthernet5,broadcast,False,172.16.252.10/30,172.16.252.25,False,1,40,True,ietf,True,10,00:00:01,1/4/4,5,dr,1,1,40
default,ipv4,1,0.0.0.0,GigabitEthernet6,GigabitEthernet6,broadcast,False,172.16.252.17/30,172.16.252.25,False,1,40,True,cisco,True,10,00:00:01,1/5/5,5,bdr,1,1,40
default,ipv4,1,0.0.0.0,GigabitEthernet6,GigabitEthernet6,broadcast,False,172.16.252.17/30,172.16.252.25,False,1,40,True,ietf,True,10,00:00:01,1/5/5,5,bdr,1,1,40
