
Interface,Status,Type,VLAN,Port Speed,Duplex
Ethernet1/1,connected,10g,trunk,1000,full
Ethernet1/10,disabled,10g,1,auto,auto
Ethernet1/100,notconnec,10g,1,auto,auto
Ethernet1/101,notconnec,10g,1,auto,auto
Ethernet1/102,notconnec,10g,1,auto,auto
Ethernet1/103,notconnec,10g,1,auto,auto
Ethernet1/104,notconnec,10g,1,auto,auto
Ethernet1/105,notconnec,10g,1,auto,auto
Ethernet1/106,notconnec,10g,1,auto,auto
Ethernet1/107,notconnec,10g,1,auto,auto
Ethernet1/108,notconnec,10g,1,auto,auto
Ethernet1/109,notconnec,10g,1,auto,auto
Ethernet1/11,connected,10g,101,1000,full
Ethernet1/110,notconnec,10g,1,auto,auto
Ethernet1/111,notconnec,10g,1,auto,auto
Ethernet1/112,notconnec,10g,1,auto,auto
Ethernet1/113,notconnec,10g,1,auto,auto
Ethernet1/114,notconnec,10g,1,auto,auto
Ethernet1/115,notconnec,10g,1,auto,auto
Ethernet1/116,notconnec,10g,1,auto,auto
Ethernet1/117,notconnec,10g,1,auto,auto
Ethernet1/118,notconnec,10g,1,auto,auto
Ethernet1/119,notconnec,10g,1,auto,auto
Ethernet1/12,notconnec,10g,1,auto,auto
Ethernet1/120,notconnec,10g,1,auto,auto
Ethernet1/121,notconnec,10g,1,auto,auto
Ethernet1/122,notconnec,10g,1,auto,auto
Ethernet1/123,notconnec,10g,1,auto,auto
Ethernet1/124,notconnec,10g,1,auto,auto
Ethernet1/125,notconnec,10g,1,auto,auto
Ethernet1/126,notconnec,10g,1,auto,auto
Ethernet1/127,notconnec,10g,1,auto,auto
Ethernet1/128,notconnec,10g,1,auto,auto
Ethernet1/13,notconnec,10g,1,auto,auto
Ethernet1/14,notconnec,10g,1,auto,auto
Ethernet1/15,notconnec,10g,1,auto,auto
Ethernet1/16,notconnec,10g,1,auto,auto
Ethernet1/17,notconnec,10g,1,auto,auto
Ethernet1/18,notconnec,10g,1,auto,auto
Ethernet1/19,notconnec,10g,1,auto,auto
Ethernet1/2,connected,10g,trunk,1000,full
Ethernet1/20,notconnec,10g,1,auto,auto
Ethernet1/21,notconnec,10g,1,auto,auto
Ethernet1/22,notconnec,10g,1,auto,auto
Ethernet1/23,notconnec,10g,1,auto,auto
Ethernet1/24,notconnec,10g,1,auto,auto
Ethernet1/25,notconnec,10g,1,auto,auto
Ethernet1/26,notconnec,10g,1,auto,auto
Ethernet1/27,notconnec,10g,1,auto,auto
Ethernet1/28,notconnec,10g,1,auto,auto
Ethernet1/29,notconnec,10g,1,auto,auto
Ethernet1/3,connected,10g,routed,1000,full
Ethernet1/30,notconnec,10g,1,auto,auto
Ethernet1/31,notconnec,10g,1,auto,auto
Ethernet1/32,notconnec,10g,1,auto,auto
Ethernet1/33,notconnec,10g,1,auto,auto
Ethernet1/34,notconnec,10g,1,auto,auto
Ethernet1/35,notconnec,10g,1,auto,auto
Ethernet1/36,notconnec,10g,1,auto,auto
Ethernet1/37,notconnec,10g,1,auto,auto
Ethernet1/38,notconnec,10g,1,auto,auto
Ethernet1/39,notconnec,10g,1,auto,auto
Ethernet1/4,connected,10g,routed,1000,full
Ethernet1/40,notconnec,10g,1,auto,auto
Ethernet1/41,notconnec,10g,1,auto,auto
Ethernet1/42,notconnec,10g,1,auto,auto
Ethernet1/43,notconnec,10g,1,auto,auto
Ethernet1/44,notconnec,10g,1,auto,auto
Ethernet1/45,notconnec,10g,1,auto,auto
Ethernet1/46,notconnec,10g,1,auto,auto
Ethernet1/47,notconnec,10g,1,auto,auto
Ethernet1/48,notconnec,10g,1,auto,auto
Ethernet1/49,notconnec,10g,1,auto,auto
Ethernet1/5,disabled,10g,1,auto,auto
Ethernet1/50,notconnec,10g,1,auto,auto
Ethernet1/51,notconnec,10g,1,auto,auto
