

VLAN,MAC Address,Interface,Entry Type,Age
-,5254.000d.e743,Sup-eth1(R),static,-
101,0000.0c07.ac0a,Sup-eth1(R),static,-
101,5254.0004.4185,vPC Peer-Link(R),static,-
101,5254.000d.e743,Sup-eth1(R),static,-
102,0000.0c07.ac0a,vPC Peer-Link(R),static,-
102,5254.0004.4185,vPC Peer-Link(R),static,-
102,5254.000d.e743,Sup-eth1(R),static,-
103,0000.0c07.ac0a,vPC Peer-Link(R),static,-
103,5254.0004.4185,vPC Peer-Link(R),static,-
103,5254.000d.e743,Sup-eth1(R),static,-
104,0000.0c07.ac0a,vPC Peer-Link(R),static,-
104,5254.0004.4185,vPC Peer-Link(R),static,-
104,5254.000d.e743,Sup-eth1(R),static,-
105,0000.0c07.ac0a,vPC Peer-Link(R),static,-
105,5254.0004.4185,vPC Peer-Link(R),static,-
105,5254.000d.e743,Sup-eth1(R),static,-
