Device Type,Chassis,Serial Number,Uptime,Directory,Total Disk,Used Disk,Free Disk,Image,Main Memory,OS,Version
Nexus9000 9000v,Nexus9000 9000v Chassis,9SURZFD8MR6,9553,bootflash:,3470110720,1519079424,1951031296,bootflash:///nxos.9.2.4.bin,8161516 kB,NX-OS,9.2(4)
Slot Name,Slot Serial Number,Slot State,Redundancy State,RP Boot Image,RP Uptime
Nexus 9000v Ethernet Module,9SURZFD8MR6,N/A,N/A,N/A,N/A,
N9K-9000v,9SURZFD8MR6,active,active,bootflash:/nxos.9.2.4.bin,9553,
Virtual Device Name,Virtual Device Status,Virtual Interface,Virtual Interface Type,Virtual Interface Status
dist-sw01,active,Eth1/1,Ethernet,OK
dist-sw01,active,Eth1/10,Ethernet,OK
dist-sw01,active,Eth1/100,Ethernet,OK
dist-sw01,active,Eth1/101,Ethernet,OK
dist-sw01,active,Eth1/102,Ethernet,OK
dist-sw01,active,Eth1/103,Ethernet,OK
dist-sw01,active,Eth1/104,Ethernet,OK
dist-sw01,active,Eth1/105,Ethernet,OK
dist-sw01,active,Eth1/106,Ethernet,OK
dist-sw01,active,Eth1/107,Ethernet,OK
dist-sw01,active,Eth1/108,Ethernet,OK
dist-sw01,active,Eth1/109,Ethernet,OK
dist-sw01,active,Eth1/11,Ethernet,OK
dist-sw01,active,Eth1/110,Ethernet,OK
dist-sw01,active,Eth1/111,Ethernet,OK
dist-sw01,active,Eth1/112,Ethernet,OK
dist-sw01,active,Eth1/113,Ethernet,OK
dist-sw01,active,Eth1/114,Ethernet,OK
dist-sw01,active,Eth1/115,Ethernet,OK
dist-sw01,active,Eth1/116,Ethernet,OK
dist-sw01,active,Eth1/117,Ethernet,OK
dist-sw01,active,Eth1/118,Ethernet,OK
dist-sw01,active,Eth1/119,Ethernet,OK
dist-sw01,active,Eth1/12,Ethernet,OK
dist-sw01,active,Eth1/120,Ethernet,OK
dist-sw01,active,Eth1/121,Ethernet,OK
dist-sw01,active,Eth1/122,Ethernet,OK
dist-sw01,active,Eth1/123,Ethernet,OK
dist-sw01,active,Eth1/124,Ethernet,OK
dist-sw01,active,Eth1/125,Ethernet,OK
dist-sw01,active,Eth1/126,Ethernet,OK
dist-sw01,active,Eth1/127,Ethernet,OK
dist-sw01,active,Eth1/128,Ethernet,OK
dist-sw01,active,Eth1/13,Ethernet,OK
dist-sw01,active,Eth1/14,Ethernet,OK
dist-sw01,active,Eth1/15,Ethernet,OK
dist-sw01,active,Eth1/16,Ethernet,OK
dist-sw01,active,Eth1/17,Ethernet,OK
dist-sw01,active,Eth1/18,Ethernet,OK
