

VLAN,Name,State,Shutdown,Interface
1,default,active,False,Port-channel1
1,default,active,False,Ethernet1/1
1,default,active,False,Ethernet1/2
1,default,active,False,Ethernet1/5
1,default,active,False,Ethernet1/6
1,default,active,False,Ethernet1/7
1,default,active,False,Ethernet1/8
1,default,active,False,Ethernet1/9
1,default,active,False,Ethernet1/10
1,default,active,False,Ethernet1/12
1,default,active,False,Ethernet1/13
1,default,active,False,Ethernet1/14
1,default,active,False,Ethernet1/15
1,default,active,False,Ethernet1/16
1,default,active,False,Ethernet1/17
1,default,active,False,Ethernet1/18
1,default,active,False,Ethernet1/19
1,default,active,False,Ethernet1/20
1,default,active,False,Ethernet1/21
1,default,active,False,Ethernet1/22
1,default,active,False,Ethernet1/23
1,default,active,False,Ethernet1/24
1,default,active,False,Ethernet1/25
1,default,active,False,Ethernet1/26
1,default,active,False,Ethernet1/27
1,default,active,False,Ethernet1/28
1,default,active,False,Ethernet1/29
1,default,active,False,Ethernet1/30
1,default,active,False,Ethernet1/31
1,default,active,False,Ethernet1/32
1,default,active,False,Ethernet1/33
1,default,active,False,Ethernet1/34
1,default,active,False,Ethernet1/35
1,default,active,False,Ethernet1/36
1,default,active,False,Ethernet1/37
1,default,active,False,Ethernet1/38
1,default,active,False,Ethernet1/39
1,default,active,False,Ethernet1/40
1,default,active,False,Ethernet1/41
1,default,active,False,Ethernet1/42
1,default,active,False,Ethernet1/43
1,default,active,False,Ethernet1/44
1,default,active,False,Ethernet1/45
1,default,active,False,Ethernet1/46
1,default,active,False,Ethernet1/47
1,default,active,False,Ethernet1/48
1,default,active,False,Ethernet1/49
1,default,active,False,Ethernet1/50
1,default,active,False,Ethernet1/51
1,default,active,False,Ethernet1/52
1,default,active,False,Ethernet1/53
1,default,active,False,Ethernet1/54
1,default,active,False,Ethernet1/55
1,default,active,False,Ethernet1/56
1,default,active,False,Ethernet1/57
1,default,active,False,Ethernet1/58
1,default,active,False,Ethernet1/59
1,default,active,False,Ethernet1/60
1,default,active,False,Ethernet1/61
1,default,active,False,Ethernet1/62
1,default,active,False,Ethernet1/63
1,default,active,False,Ethernet1/64
1,default,active,False,Ethernet1/65
1,default,active,False,Ethernet1/66
1,default,active,False,Ethernet1/67
1,default,active,False,Ethernet1/68
1,default,active,False,Ethernet1/69
1,default,active,False,Ethernet1/70
1,default,active,False,Ethernet1/71
1,default,active,False,Ethernet1/72
1,default,active,False,Ethernet1/73
1,default,active,False,Ethernet1/74
1,default,active,False,Ethernet1/75
1,default,active,False,Ethernet1/76
1,default,active,False,Ethernet1/77
1,default,active,False,Ethernet1/78
1,default,active,False,Ethernet1/79
1,default,active,False,Ethernet1/80
1,default,active,False,Ethernet1/81
1,default,active,False,Ethernet1/82
1,default,active,False,Ethernet1/83
1,default,active,False,Ethernet1/84
1,default,active,False,Ethernet1/85
1,default,active,False,Ethernet1/86
1,default,active,False,Ethernet1/87
1,default,active,False,Ethernet1/88
1,default,active,False,Ethernet1/89
1,default,active,False,Ethernet1/90
1,default,active,False,Ethernet1/91
1,default,active,False,Ethernet1/92
1,default,active,False,Ethernet1/93
1,default,active,False,Ethernet1/94
1,default,active,False,Ethernet1/95
1,default,active,False,Ethernet1/96
1,default,active,False,Ethernet1/97
1,default,active,False,Ethernet1/98
1,default,active,False,Ethernet1/99
1,default,active,False,Ethernet1/100
1,default,active,False,Ethernet1/101
1,default,active,False,Ethernet1/102
1,default,active,False,Ethernet1/103
1,default,active,False,Ethernet1/104
1,default,active,False,Ethernet1/105
1,default,active,False,Ethernet1/106
1,default,active,False,Ethernet1/107
1,default,active,False,Ethernet1/108
1,default,active,False,Ethernet1/109
1,default,active,False,Ethernet1/110
1,default,active,False,Ethernet1/111
1,default,active,False,Ethernet1/112
1,default,active,False,Ethernet1/113
1,default,active,False,Ethernet1/114
1,default,active,False,Ethernet1/115
1,default,active,False,Ethernet1/116
1,default,active,False,Ethernet1/117
1,default,active,False,Ethernet1/118
1,default,active,False,Ethernet1/119
1,default,active,False,Ethernet1/120
1,default,active,False,Ethernet1/121
1,default,active,False,Ethernet1/122
1,default,active,False,Ethernet1/123
1,default,active,False,Ethernet1/124
1,default,active,False,Ethernet1/125
1,default,active,False,Ethernet1/126
1,default,active,False,Ethernet1/127
1,default,active,False,Ethernet1/128
101,prod,active,False,Port-channel1
101,prod,active,False,Ethernet1/1
101,prod,active,False,Ethernet1/2
101,prod,active,False,Ethernet1/11
102,dev,active,False,Port-channel1
102,dev,active,False,Ethernet1/1
102,dev,active,False,Ethernet1/2
103,test,active,False,Port-channel1
103,test,active,False,Ethernet1/1
103,test,active,False,Ethernet1/2
104,security,active,False,Port-channel1
104,security,active,False,Ethernet1/1
104,security,active,False,Ethernet1/2
105,iot,active,False,Port-channel1
105,iot,active,False,Ethernet1/1
105,iot,active,False,Ethernet1/2
VLAN,IP IGMT Snooping
1,enabled
101,enabled
102,enabled
103,enabled
104,enabled
105,enabled
Interface VLAN Enabled, VN Segment VLAN Based Enabled
True,False
